,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime
204,LF,d3s3,Kinder,1,2,1,5,1,Female,N/A,N/A,3,Pirate,3,4430,N/A,N/A
205,LF,d3s3,Kinder,1,2,2,2,1,Female,N/A,N/A,8,Farmer,N/A,N/A,8,7752
206,LF,d3s3,Kinder,1,2,2,4,1,Female,N/A,N/A,0,Pirate,4,5724,N/A,N/A
207,LF,d3s3,Kinder,1,2,3,6,1,Male,0,1,0,Pirate,4,22771,N/A,N/A
208,LF,d3s3,Kinder,1,2,3,9,1,Male,N/A,N/A,3,Farmer,N/A,N/A,3,15745
209,LF,d3s3,Kinder,1,2,4,1,1,Male,1,0,4,Pirate,4,42402,N/A,N/A
210,LF,d3s3,Kinder,1,2,4,7,1,Male,2,1,0,Farmer,N/A,N/A,4,17582
211,LF,d3s3,Kinder,1,3,0,0,1,Female,N/A,N/A,3,Pirate,3,235653,N/A,N/A
212,LF,d3s3,Kinder,1,3,0,8,1,Female,N/A,N/A,0,Farmer,N/A,N/A,3,9160
213,LF,d3s3,Kinder,1,3,1,3,1,Male,0,0,0,Pirate,3,11985,N/A,N/A
214,LF,d3s3,Kinder,1,3,1,5,1,Female,N/A,N/A,8,Farmer,N/A,N/A,8,240275
215,LF,d3s3,Kinder,1,3,2,2,1,Female,N/A,N/A,3,Pirate,3,7436,N/A,N/A
216,LF,d3s3,Kinder,1,3,2,4,1,Female,N/A,N/A,0,Farmer,N/A,N/A,3,36318
217,LF,d3s3,Kinder,1,3,3,6,1,Male,0,1,8,Farmer,N/A,N/A,8,14442
218,LF,d3s3,Kinder,1,3,3,9,1,Male,N/A,N/A,0,Pirate,3,11680,N/A,N/A
219,LF,d3s3,Kinder,1,3,4,1,1,Male,1,0,0,Farmer,N/A,N/A,8,125348
220,LF,d3s3,Kinder,1,3,4,7,1,Male,2,1,8,Pirate,8,102154,N/A,N/A
221,LF,d3s3,Kinder,1,4,0,0,1,Female,N/A,N/A,8,Farmer,N/A,N/A,8,5138
222,LF,d3s3,Kinder,1,4,0,8,1,Female,N/A,N/A,0,Pirate,3,7928,N/A,N/A
223,LF,d3s3,Kinder,1,4,1,3,1,Male,0,0,4,Farmer,N/A,N/A,4,6532
224,LF,d3s3,Kinder,1,4,1,5,1,Female,N/A,N/A,0,Pirate,8,33107,N/A,N/A
225,LF,d3s3,Kinder,1,4,2,2,1,Female,N/A,N/A,3,Farmer,N/A,N/A,3,7341
226,LF,d3s3,Kinder,1,4,2,4,1,Female,N/A,N/A,0,Pirate,8,25126,N/A,N/A
227,LF,d3s3,Kinder,1,4,3,6,1,Male,0,1,8,Pirate,8,10354,N/A,N/A
228,LF,d3s3,Kinder,1,4,3,9,1,Male,N/A,N/A,0,Farmer,N/A,N/A,8,13872
229,LF,d3s3,Kinder,1,4,4,1,1,Male,1,0,3,Pirate,3,28984,N/A,N/A
230,LF,d3s3,Kinder,1,4,4,7,1,Male,2,1,0,Farmer,N/A,N/A,3,15442
231,LF,d3s3,Kinder,1,5,0,0,1,Female,N/A,N/A,0,Pirate,3,10383,N/A,N/A
232,LF,d3s3,Kinder,1,5,0,8,1,Female,N/A,N/A,8,Farmer,N/A,N/A,8,19407
233,LF,d3s3,Kinder,1,5,1,3,1,Male,0,0,0,Pirate,3,4391,N/A,N/A
234,LF,d3s3,Kinder,1,5,1,5,1,Female,N/A,N/A,4,Farmer,N/A,N/A,4,5604
235,LF,d3s3,Kinder,1,5,2,2,1,Female,N/A,N/A,0,Pirate,8,6857,N/A,N/A
236,LF,d3s3,Kinder,1,5,2,4,1,Female,N/A,N/A,4,Farmer,N/A,N/A,4,10295
237,LF,d3s3,Kinder,1,5,3,6,1,Male,0,1,4,Farmer,N/A,N/A,4,11880
238,LF,d3s3,Kinder,1,5,3,9,1,Male,N/A,N/A,0,Pirate,8,5541,N/A,N/A
239,LF,d3s3,Kinder,1,5,4,1,1,Male,1,0,8,Farmer,N/A,N/A,8,40900
240,LF,d3s3,Kinder,1,5,4,7,1,Male,2,1,0,Pirate,4,5460,N/A,N/A
241,LF,d3s3,Kinder,1,6,0,0,1,Female,N/A,N/A,3,Farmer,N/A,N/A,3,5493
242,LF,d3s3,Kinder,1,6,0,8,1,Female,N/A,N/A,0,Pirate,8,33107,N/A,N/A
243,LF,d3s3,Kinder,1,6,1,3,1,Male,0,0,0,Farmer,N/A,N/A,4,17173
244,LF,d3s3,Kinder,1,6,1,5,1,Female,N/A,N/A,4,Pirate,4,22526,N/A,N/A
245,LF,d3s3,Kinder,1,6,2,2,1,Female,N/A,N/A,4,Farmer,N/A,N/A,4,4186
246,LF,d3s3,Kinder,1,6,2,4,1,Female,N/A,N/A,0,Pirate,3,3984,N/A,N/A
247,LF,d3s3,Kinder,1,6,3,6,1,Male,0,1,0,Pirate,8,18397,N/A,N/A
248,LF,d3s3,Kinder,1,6,3,9,1,Male,N/A,N/A,4,Farmer,N/A,N/A,4,9999
249,LF,d3s3,Kinder,1,6,4,1,1,Male,1,0,8,Pirate,8,22051,N/A,N/A
250,LF,d3s3,Kinder,1,6,4,7,1,Male,2,1,0,Farmer,N/A,N/A,8,7282
251,LF,d3s3,Kinder,1,7,0,0,1,Female,N/A,N/A,0,Pirate,4,8199,N/A,N/A
252,LF,d3s3,Kinder,1,7,0,8,1,Female,N/A,N/A,8,Farmer,N/A,N/A,8,54233
253,LF,d3s3,Kinder,1,7,1,3,1,Male,0,0,0,Pirate,4,17063,N/A,N/A
254,LF,d3s3,Kinder,1,7,1,5,1,Female,N/A,N/A,8,Farmer,N/A,N/A,8,4764
255,LF,d3s3,Kinder,1,7,2,2,1,Female,N/A,N/A,0,Pirate,4,8099,N/A,N/A
256,LF,d3s3,Kinder,1,7,2,4,1,Female,N/A,N/A,3,Farmer,N/A,N/A,3,10577
