Order,Location,Session,Game,matchId,roundId,groupId,clientId,Gender,Grade,Older siblings,Younger siblings,role,decision,decisionTime,payoff
SH-BOS,BUR,67-G1,BOS2,8,11,0,7,M,6,0,0,green,red,1719,3
SH-BOS,BUR,67-G1,BOS2,8,12,0,7,M,6,0,0,green,red,969,3
SH-BOS,BUR,67-G1,BOS2,8,13,0,7,M,6,0,0,green,red,563,3
SH-BOS,BUR,67-G1,BOS2,8,14,0,7,M,6,0,0,green,green,1438,1
SH-BOS,BUR,67-G1,BOS2,8,15,0,7,M,6,0,0,green,green,437,1
SH-BOS,BUR,67-G1,BOS2,8,16,0,7,M,6,0,0,green,green,469,1
SH-BOS,BUR,67-G1,BOS2,8,17,0,7,M,6,0,0,green,green,422,1
SH-BOS,BUR,67-G1,BOS2,8,18,0,7,M,6,0,0,green,green,1141,1
SH-BOS,BUR,67-G1,BOS2,8,19,0,7,M,6,0,0,green,red,813,3
SH-BOS,BUR,67-G1,BOS2,8,20,0,7,M,6,0,0,green,red,563,3
SH-BOS,BUR,67-G1,BOS2,8,21,0,7,M,6,0,0,green,red,1062,3
SH-BOS,BUR,67-G1,BOS2,8,22,0,7,M,6,0,0,green,red,1172,3
SH-BOS,BUR,67-G1,BOS2,8,23,0,7,M,6,0,0,green,red,2016,3
SH-BOS,BUR,67-G1,SH1,5,0,2,1,M,6,0,1,blue,in,8250,3
SH-BOS,BUR,67-G1,SH1,5,1,2,1,M,6,0,1,blue,in,1391,3
SH-BOS,BUR,67-G1,SH1,5,2,2,1,M,6,0,1,blue,in,1625,3
SH-BOS,BUR,67-G1,SH1,5,3,2,1,M,6,0,1,blue,in,1563,3
SH-BOS,BUR,67-G1,SH1,5,4,2,1,M,6,0,1,blue,in,1735,3
SH-BOS,BUR,67-G1,SH1,5,5,2,1,M,6,0,1,blue,in,1453,3
SH-BOS,BUR,67-G1,SH1,5,6,2,1,M,6,0,1,blue,in,1344,3
SH-BOS,BUR,67-G1,SH1,5,7,2,1,M,6,0,1,blue,in,1547,3
